id,title,image,rating,chapter,previous_chapter,type,span,is_trending,popularity,last_updated,link,source,chapters
17,"Houkago Voca-Ken de!				
					Virus Girlfriend				
					The Immortal as a Slave, the God as a Servant, the Emperor’s Watchdog				
					Return of the Mad Demon				
					The Long Way of the Warrior				
					Pick Me Up (Infinite Gacha)				
					Shibou Yuugi de Meshi wo Kuu.				
					Spy X Family				
					Office Worker in the Ice Age Apocalypse				
					The New Employee Kim Chul-Soo				
					Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?				
					Zombie Papa				
					A Bad Person (Bad Guy)				
					Ore no Manamusume wa Akuyaku Reijou				
					Royal Family				
					Kidnapped Dragons				
					Konyaku Haki made 10-Nikkan				
					Fated To Be Loved By Villains				
					Grim Reaper of the Drifting Moon				
					Sword Devouring Swordmaster				
					The Butcher Blade That Pierces All Realms				
					Regressor of the Fallen Family				
					Hiding a Logistics Center in the Apocalypse				
					Lord of Money","https://images.envira-cdn.com/cdn-cgi/imagedelivery/Fcmm2_rOlMVEVM7KyY_2rw/16fc6040-0fc3-436f-0d9f-202211cc6d00/w=320,h=381,fit=crop,format=auto",,"Chapter 01","Chapter 380",,,1,0,"2026-02-05 04:17:29",https://kiryuu03.com/manga/houkago-voca-ken-de/,Kiryuu,"[{""title"":""Chapter 01"",""link"":""https://kiryuu03.com/manga/houkago-voca-ken-de/chapter-01.725782/""}]"
18,"Houkago Voca-Ken de!","https://images.envira-cdn.com/cdn-cgi/imagedelivery/Fcmm2_rOlMVEVM7KyY_2rw/16fc6040-0fc3-436f-0d9f-202211cc6d00/w=320,h=381,fit=crop,format=auto",,"Chapter 01",,,,1,0,"2026-02-05 04:46:15",https://kiryuu03.com/manga/houkago-voca-ken-de/,Kiryuu,"[{""title"":""Chapter 01"",""link"":""https://kiryuu03.com/manga/houkago-voca-ken-de/chapter-01.725782/""}]"
